first_vertex,second_vertex
1,131
1,132
1,133
1,134
1,135
1,28
1,136
1,137
1,138
1,31
1,29
1,139
1,140
1,141
1,142
1,143
1,144
1,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
1,155
1,156
1,157
1,158
1,159
1,160
1,161
1,162
1,163
1,164
1,165
1,166
1,167
1,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
1,176
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,36
1,193
1,194
1,195
1,196
1,197
1,198
1,199
1,58
1,200
1,201
1,202
1,32
1,203
1,111
1,39
1,54
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
2,222
2,223
2,224
2,37
2,225
2,53
2,69
2,226
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
2,227
3,42
3,228
3,229
3,230
3,231
3,232
3,233
3,234
3,235
3,236
3,237
3,238
3,239
3,113
3,240
3,241
3,242
3,243
3,53
3,222
3,244
3,245
3,246
3,247
3,248
3,249
3,250
3,251
3,226
3,225
3,252
3,253
3,254
3,255
3,256
3,257
3,258
3,259
3,260
3,261
3,262
3,263
3,264
3,265
3,266
3,267
3,268
3,269
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,278
3,279
3,280
3,281
3,282
3,283
3,284
3,285
3,286
3,287
3,288
3,289
3,290
3,291
3,102
3,292
3,293
3,294
3,295
3,296
3,297
3,298
3,299
3,300
3,301
3,302
3,303
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,114
3,312
3,313
3,314
3,315
3,316
3,317
3,318
3,69
4,319
4,320
4,321
4,322
4,323
4,324
4,325
4,326
4,327
4,328
4,329
4,330
4,83
4,84
4,192
4,331
4,332
4,333
4,334
4,335
4,336
4,337
4,338
4,339
4,340
4,163
4,341
4,342
4,343
4,344
4,345
4,346
4,347
4,348
4,349
4,350
4,351
4,352
4,353
4,354
4,355
4,356
4,357
4,358
4,359
4,360
4,361
4,362
4,363
4,364
4,365
4,366
4,11
4,367
4,368
4,369
4,370
4,371
4,372
4,373
4,374
4,375
4,376
4,377
4,378
4,379
4,380
4,381
4,382
4,383
4,384
4,385
4,386
4,387
4,388
4,389
4,390
4,391
4,392
4,203
4,393
4,394
4,54
4,395
4,396
4,397
4,398
4,399
4,400
4,401
4,36
4,402
4,403
4,404
4,405
4,406
4,407
4,408
4,409
4,410
5,411
5,412
5,413
5,414
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,424
5,425
5,382
5,426
5,427
5,428
5,429
5,430
5,340
5,431
5,432
5,433
5,434
5,435
5,436
5,437
5,438
5,439
5,440
5,441
5,442
5,443
5,444
5,445
5,446
5,447
5,448
5,449
5,450
5,451
5,452
5,453
5,454
5,455
5,456
5,457
5,458
5,459
5,460
5,461
5,462
5,21
5,463
5,54
5,464
5,465
5,466
5,467
5,468
5,469
5,470
5,471
5,472
5,473
5,474
5,475
5,476
5,477
5,478
5,479
5,480
5,481
5,482
5,483
5,484
5,485
5,486
5,487
5,488
5,489
5,90
5,61
5,490
5,226
5,491
5,492
5,493
5,494
5,495
5,496
5,497
5,498
5,499
5,500
5,501
5,502
5,343
6,503
6,504
6,505
6,506
6,507
6,508
6,509
6,510
6,511
6,512
6,513
6,514
6,515
6,516
6,517
6,518
6,519
6,520
6,521
6,522
6,523
6,524
6,525
6,526
6,527
6,528
6,43
6,529
6,37
6,530
6,531
6,343
6,532
6,533
6,534
6,535
6,536
6,537
6,538
6,539
6,540
6,541
6,542
6,543
6,544
6,545
6,546
6,547
6,548
6,549
6,550
6,329
6,551
6,552
6,553
6,554
6,555
6,556
6,557
6,558
6,559
6,560
6,561
6,562
6,563
6,564
6,565
6,566
6,567
6,568
6,569
6,570
6,571
6,572
6,573
6,574
6,575
6,576
6,577
6,578
6,579
6,580
6,581
6,582
6,583
6,584
6,585
6,586
6,587
6,588
6,589
6,590
6,591
6,592
6,593
6,594
6,595
6,596
6,597
6,598
7,599
7,600
7,601
7,602
7,603
7,604
7,605
7,606
7,607
7,608
7,609
7,610
7,611
7,612
7,613
7,614
7,615
7,616
7,617
7,618
7,619
7,620
7,621
7,622
7,623
7,624
7,625
7,626
7,627
7,628
7,629
7,630
7,631
7,632
7,633
7,634
7,635
7,636
7,637
7,638
7,639
7,640
7,641
7,642
7,643
7,644
7,645
7,646
7,647
7,648
7,649
7,650
7,651
7,652
7,653
7,654
7,655
7,656
7,657
7,658
7,659
7,660
7,661
7,662
7,663
7,664
7,665
7,666
7,667
7,668
7,669
7,670
7,671
7,672
7,673
7,674
7,675
7,676
7,677
7,678
7,679
7,680
7,681
7,682
7,683
7,684
7,685
7,686
7,687
7,688
7,689
7,690
7,691
7,692
7,693
7,694
7,695
7,696
7,697
7,698
8,325
8,84
8,83
8,331
8,699
8,700
8,701
8,142
8,702
8,703
8,704
8,397
8,197
8,705
8,706
