,edge_1,edge_2
0,1,131
1,1,132
2,1,133
3,1,134
4,1,135
5,1,28
6,1,136
7,1,137
8,1,138
9,1,31
10,1,29
11,1,139
12,1,140
13,1,141
14,1,142
15,1,143
16,1,144
17,1,145
18,1,146
19,1,147
20,1,148
21,1,149
22,1,150
23,1,151
24,1,152
25,1,153
26,1,154
27,1,155
28,1,156
29,1,157
30,1,158
31,1,159
32,1,160
33,1,161
34,1,162
35,1,163
36,1,164
37,1,165
38,1,166
39,1,167
40,1,168
41,1,169
42,1,170
43,1,171
44,1,172
45,1,173
46,1,174
47,1,175
48,1,176
49,1,177
50,1,178
51,1,179
52,1,180
53,1,181
54,1,182
55,1,183
56,1,184
57,1,185
58,1,186
59,1,187
60,1,188
61,1,189
62,1,190
63,1,191
64,1,192
65,1,36
66,1,193
67,1,194
68,1,195
69,1,196
70,1,197
71,1,198
72,1,199
73,1,58
74,1,200
75,1,201
76,1,202
77,1,32
78,1,203
79,1,111
80,1,39
81,1,54
82,1,204
83,1,205
84,1,206
85,1,207
86,1,208
87,1,209
88,1,210
89,1,211
90,1,212
91,1,213
92,1,214
93,1,215
94,1,216
95,1,217
96,1,218
97,1,219
98,1,220
99,1,221
100,2,222
101,2,223
102,2,224
103,2,37
104,2,225
105,2,53
106,2,69
107,2,226
108,3,42
109,3,228
110,3,229
111,3,230
112,3,231
113,3,232
114,3,233
115,3,234
116,3,235
117,3,236
118,3,237
119,3,238
120,3,239
121,3,113
122,3,240
123,3,241
124,3,242
125,3,243
126,3,53
127,3,222
128,3,244
129,3,245
130,3,246
131,3,247
132,3,248
133,3,249
134,3,250
135,3,251
136,3,226
137,3,225
138,3,252
139,3,253
140,3,254
141,3,255
142,3,256
143,3,257
144,3,258
145,3,259
146,3,260
147,3,261
148,3,262
149,3,263
150,3,264
151,3,265
152,3,266
153,3,267
154,3,268
155,3,269
156,3,270
157,3,271
158,3,272
159,3,273
160,3,274
161,3,275
162,3,276
163,3,277
164,3,278
165,3,279
166,3,280
167,3,281
168,3,282
169,3,283
170,3,284
171,3,285
172,3,286
173,3,287
174,3,288
175,3,289
176,3,290
177,3,291
178,3,102
179,3,292
180,3,293
181,3,294
182,3,295
183,3,296
184,3,297
185,3,298
186,3,299
187,3,300
188,3,301
189,3,302
190,3,303
191,3,304
192,3,305
193,3,306
194,3,307
195,3,308
196,3,309
197,3,310
198,3,311
199,3,114
200,3,312
201,3,313
202,3,314
203,3,315
204,3,316
205,3,317
206,3,318
207,3,69
208,4,319
209,4,320
210,4,321
211,4,322
212,4,323
213,4,324
214,4,325
215,4,326
216,4,327
217,4,328
218,4,329
219,4,330
220,4,83
221,4,84
222,4,192
223,4,331
224,4,332
225,4,333
226,4,334
227,4,335
228,4,336
229,4,337
230,4,338
231,4,339
232,4,340
233,4,163
234,4,341
235,4,342
236,4,343
237,4,344
238,4,345
239,4,346
240,4,347
241,4,348
242,4,349
243,4,350
244,4,351
245,4,352
246,4,353
247,4,354
248,4,355
249,4,356
250,4,357
251,4,358
252,4,359
253,4,360
254,4,361
255,4,362
256,4,363
257,4,364
258,4,365
259,4,366
260,4,11
261,4,367
262,4,368
263,4,369
264,4,370
265,4,371
266,4,372
267,4,373
268,4,374
269,4,375
270,4,376
271,4,377
272,4,378
273,4,379
